symbol 	 description 	 CNV 	 chr 	 CNV region 	 gene start 	 gene end
DYDC1 	 DPY30 domain containing 1  	 CN0 	 10 	 10:80250001:80560000 	 80336105 	 80356755
DYDC2 	 DPY30 domain containing 2  	 CN0 	 10 	 10:80250001:80560000 	 80344745 	 80368073
FAM213A 	 family with sequence similarity 213 member A  	 CN0 	 10 	 10:80250001:80560000 	 80407829 	 80437115
SH2D4B 	 SH2 domain containing 4B  	 CN0 	 10 	 10:80250001:80560000 	 80537902 	 80646560
MAT1A 	 methionine adenosyltransferase 1A  	 CN0 	 10 	 10:80250001:80560000 	 80271820 	 80289684
TSPAN14 	 tetraspanin 14  	 CN0 	 10 	 10:80250001:80560000 	 80454166 	 80533123
LIPF 	 lipase F, gastric type  	 CN0 	 10 	 10:87910001:88750000 	 88664441 	 88678814
LIPK 	 lipase family member K  	 CN0 	 10 	 10:87910001:88750000 	 88724544 	 88752786
LIPJ 	 lipase family member J  	 CN0 	 10 	 10:87910001:88750000 	 88586753 	 88606976
RNLS 	 renalase, FAD dependent amine oxidase  	 CN0 	 10 	 10:87910001:88750000 	 88273864 	 88584530
PTEN 	 phosphatase and tensin homolog  	 CN0 	 10 	 10:87910001:88750000 	 87863113 	 87971930
MIR548AT 	 microRNA 548at  	 CN0 	 17 	 17:42110001:42520000 	 42494773 	 42494830
STAT5A 	 signal transducer and activator of transcription 5A  	 CN0 	 17 	 17:42110001:42520000 	 42287547 	 42311943
DHX58 	 DExH-box helicase 58  	 CN0 	 17 	 17:42110001:42520000 	 42101404 	 42112733
KCNH4 	 potassium voltage-gated channel subfamily H member 4  	 CN0 	 17 	 17:42110001:42520000 	 42156891 	 42181278
STAT3 	 signal transducer and activator of transcription 3  	 CN0 	 17 	 17:42110001:42520000 	 42313324 	 42388568
STAT5B 	 signal transducer and activator of transcription 5B  	 CN0 	 17 	 17:42110001:42520000 	 42199168 	 42276707
HCRT 	 hypocretin neuropeptide precursor  	 CN0 	 17 	 17:42110001:42520000 	 42184060 	 42185452
ATP6V0A1 	 ATPase H+ transporting V0 subunit a1  	 CN0 	 17 	 17:42110001:42520000 	 42458844 	 42522611
KAT2A 	 lysine acetyltransferase 2A  	 CN0 	 17 	 17:42110001:42520000 	 42113108 	 42121358
GHDC 	 GH3 domain containing  	 CN0 	 17 	 17:42110001:42520000 	 42188799 	 42194532
RAB5C 	 RAB5C, member RAS oncogene family  	 CN0 	 17 	 17:42110001:42520000 	 42124976 	 42155044
HSPB9 	 heat shock protein family B (small) member 9  	 CN0 	 17 	 17:42110001:42520000 	 42121431 	 42123352
PTRF 	 polymerase I and transcript release factor  	 CN0 	 17 	 17:42110001:42520000 	 42402452 	 42423517
CIC 	 capicua transcriptional repressor  	 CN0 	 19 	 19:42280001:42320000 	 42268537 	 42295797
PRR19 	 proline rich 19  	 CN0 	 19 	 19:42280001:42320000 	 42302098 	 42310821
PAFAH1B3 	 platelet activating factor acetylhydrolase 1b catalytic subunit 3  	 CN0 	 19 	 19:42280001:42320000 	 42297033 	 42303546
